                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.6586,                 1.6765,                 1.6699,                0.57191,                0.55082,                0.56293,                0.29866,                 1.8043,                 1.6596,                 1.7532,              0.0006205,              0.0006205,              0.0006205
                    118,                 1.6302,                 1.6965,                  1.663,                0.57724,                0.52755,                0.56281,                 0.3003,                 1.7719,                  1.679,                 1.7278,              0.0006172,              0.0006172,              0.0006172
                    119,                 1.6418,                 1.6713,                 1.6552,                0.59759,                0.52271,                0.55892,                0.29118,                 1.7974,                  1.696,                 1.7585,              0.0006139,              0.0006139,              0.0006139
                    120,                 1.6148,                 1.6554,                 1.6461,                0.59929,                0.51677,                0.56475,                0.29372,                 1.8067,                 1.6547,                 1.7686,              0.0006106,              0.0006106,              0.0006106
                    121,                 1.6381,                 1.6755,                 1.6617,                 0.5858,                0.53695,                0.56376,                 0.2995,                 1.7785,                  1.669,                 1.7277,              0.0006073,              0.0006073,              0.0006073
                    122,                 1.6391,                 1.6607,                 1.6479,                0.56765,                0.52798,                0.55928,                0.29654,                 1.7865,                 1.6742,                 1.7451,               0.000604,               0.000604,               0.000604
                    123,                 1.6285,                 1.6643,                 1.6392,                0.55355,                0.53971,                0.56837,                0.29815,                 1.7843,                 1.6478,                  1.738,              0.0006007,              0.0006007,              0.0006007
                    124,                 1.6189,                 1.6426,                 1.6497,                0.58002,                0.52676,                 0.5597,                0.29488,                 1.7818,                 1.6504,                 1.7414,              0.0005974,              0.0005974,              0.0005974
                    125,                 1.6244,                 1.6547,                  1.666,                0.60343,                0.53587,                0.57976,                0.30198,                 1.7975,                 1.6469,                 1.7368,              0.0005941,              0.0005941,              0.0005941
                    126,                 1.6139,                 1.6154,                 1.6352,                0.59648,                0.54019,                0.56905,                0.30348,                 1.7802,                 1.6441,                 1.7517,              0.0005908,              0.0005908,              0.0005908
                    127,                 1.6289,                 1.6659,                 1.6585,                0.60312,                0.53641,                0.56665,                0.29696,                 1.7984,                 1.6546,                 1.7626,              0.0005875,              0.0005875,              0.0005875
                    128,                 1.6279,                 1.6363,                 1.6352,                0.58655,                0.54465,                0.56634,                  0.302,                 1.7737,                 1.6475,                 1.7362,              0.0005842,              0.0005842,              0.0005842
                    129,                 1.6133,                 1.6338,                 1.6403,                0.60313,                0.53469,                0.56839,                0.29762,                  1.772,                 1.6354,                 1.7321,              0.0005809,              0.0005809,              0.0005809
                    130,                 1.5884,                 1.5803,                 1.6206,                0.63367,                0.52604,                0.57753,                0.30816,                 1.7681,                 1.6109,                 1.7266,              0.0005776,              0.0005776,              0.0005776
                    131,                 1.6095,                  1.632,                 1.6441,                0.61863,                0.51808,                0.57366,                0.30146,                 1.7732,                 1.6274,                 1.7312,              0.0005743,              0.0005743,              0.0005743
                    132,                 1.6033,                 1.6299,                 1.6427,                  0.594,                0.55349,                0.57603,                0.30892,                 1.7729,                 1.6345,                 1.7406,               0.000571,               0.000571,               0.000571
                    133,                 1.6009,                 1.6155,                  1.624,                0.57676,                0.53202,                0.56825,                0.30586,                 1.7664,                 1.6281,                 1.7376,              0.0005677,              0.0005677,              0.0005677
                    134,                 1.5918,                 1.5982,                 1.6245,                0.62745,                0.53941,                0.57731,                0.31499,                 1.7704,                 1.6047,                  1.733,              0.0005644,              0.0005644,              0.0005644
                    135,                 1.6033,                 1.5882,                 1.6293,                0.59528,                0.56196,                0.57829,                0.30295,                 1.7883,                 1.6268,                 1.7426,              0.0005611,              0.0005611,              0.0005611
                    136,                 1.6067,                 1.6058,                 1.6338,                0.60192,                0.54413,                0.57674,                0.30182,                 1.7947,                 1.6449,                 1.7387,              0.0005578,              0.0005578,              0.0005578
                    137,                 1.5962,                 1.5685,                 1.6201,                0.59615,                0.55373,                0.58041,                0.30961,                 1.7784,                 1.6134,                 1.7351,              0.0005545,              0.0005545,              0.0005545
                    138,                 1.5811,                 1.5738,                 1.6213,                0.59381,                0.56166,                0.59255,                0.30959,                 1.7885,                 1.6108,                 1.7307,              0.0005512,              0.0005512,              0.0005512
